Трет’яков Микита Дмитрович,https://public.nazk.gov.ua/search?page=1&q=Трет’яков Микита Дмитрович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Демура Антон Львович,https://public.nazk.gov.ua/search?page=1&q=Демура Антон Львович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Лупандін Павло Володимирович,https://public.nazk.gov.ua/search?page=1&q=Лупандін Павло Володимирович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Ткаченко Олена Ярославівна,https://public.nazk.gov.ua/search?page=1&q=Ткаченко Олена Ярославівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Танська Віра Вікторівна,https://public.nazk.gov.ua/search?page=1&q=Танська Віра Вікторівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Рябець Марина Анатоліївна,https://public.nazk.gov.ua/search?page=1&q=Рябець Марина Анатоліївна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Юрчак Катерина Олегівна,https://public.nazk.gov.ua/search?page=1&q=Юрчак Катерина Олегівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Іванова Юлія Євгенівна,https://public.nazk.gov.ua/search?page=1&q=Іванова Юлія Євгенівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Холодова Наталія Іванівна,https://public.nazk.gov.ua/search?page=1&q=Холодова Наталія Іванівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Фаєзханов Андрій Борисович,https://public.nazk.gov.ua/search?page=1&q=Фаєзханов Андрій Борисович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Пустовий Сергій Володимирович,https://public.nazk.gov.ua/search?page=1&q=Пустовий Сергій Володимирович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Мокрянська Юлія Володимирівна,https://public.nazk.gov.ua/search?page=1&q=Мокрянська Юлія Володимирівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Ільніцький Дмитро Юрійович,https://public.nazk.gov.ua/search?page=1&q=Ільніцький Дмитро Юрійович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Старовойтова Тетяна Вікторівна,https://public.nazk.gov.ua/search?page=1&q=Старовойтова Тетяна Вікторівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Пашковський Валентин Вацлавович,https://public.nazk.gov.ua/search?page=1&q=Пашковський Валентин Вацлавович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Дегтяренко Максим Євгенович,https://public.nazk.gov.ua/search?page=1&q=Дегтяренко Максим Євгенович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Каптєлова Тетяна Леонідівна,https://public.nazk.gov.ua/search?page=1&q=Каптєлова Тетяна Леонідівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Алексєєв Олександр Євгенович,https://public.nazk.gov.ua/search?page=1&q=Алексєєв Олександр Євгенович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Ковальов Владислав Вадимович,https://public.nazk.gov.ua/search?page=1&q=Ковальов Владислав Вадимович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Безбах Яків Якович,https://public.nazk.gov.ua/search?page=1&q=Безбах Яків Якович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Калачевський Владислав Петрович,https://public.nazk.gov.ua/search?page=1&q=Калачевський Владислав Петрович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Багацький Олександр Олександрович,https://public.nazk.gov.ua/search?page=1&q=Багацький Олександр Олександрович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Максюта Олег Миколайович,https://public.nazk.gov.ua/search?page=1&q=Максюта Олег Миколайович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Зоріч Сергій Віталійович,https://public.nazk.gov.ua/search?page=1&q=Зоріч Сергій Віталійович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Полішко Вадим Вікторович,https://public.nazk.gov.ua/search?page=1&q=Полішко Вадим Вікторович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Скорік Дмитро Валерійович,https://public.nazk.gov.ua/search?page=1&q=Скорік Дмитро Валерійович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Манукян Аждаак Араратович,https://public.nazk.gov.ua/search?page=1&q=Манукян Аждаак Араратович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Сіверська Галина Григорівна,https://public.nazk.gov.ua/search?page=1&q=Сіверська Галина Григорівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Шевченко Сергій Анатолійович,https://public.nazk.gov.ua/search?page=1&q=Шевченко Сергій Анатолійович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Хворостина Юлія Сергіївна,https://public.nazk.gov.ua/search?page=1&q=Хворостина Юлія Сергіївна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Ковальова Альона Вікторівна,https://public.nazk.gov.ua/search?page=1&q=Ковальова Альона Вікторівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Полєхін Петро Іванович,https://public.nazk.gov.ua/search?page=1&q=Полєхін Петро Іванович&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Уляницька Ірина Юріївна,https://public.nazk.gov.ua/search?page=1&q=Уляницька Ірина Юріївна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Жук Анжела Єсавівна,https://public.nazk.gov.ua/search?page=1&q=Жук Анжела Єсавівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Буртова Єлизавета Дмитрівна,https://public.nazk.gov.ua/search?page=1&q=Буртова Єлизавета Дмитрівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
Міфтахутдінова Діна Артурівна,https://public.nazk.gov.ua/search?page=1&q=Міфтахутдінова Діна Артурівна&declarationType=&declarationYear=&documentType=&dtStart=&dtEnd=&isRisk=
